date,caserate7d100k
2020-09-23,91.82
2020-09-22,92.46
2020-09-21,88.59
2020-09-20,86.47
2020-09-19,86.07
2020-09-18,85.39
2020-09-17,84.28
2020-09-16,82.29
2020-09-15,79.43
2020-09-14,76.86
2020-09-13,73.96
2020-09-12,74.18
2020-09-11,74.6
2020-09-10,76.7
2020-09-09,78.67
2020-09-08,80.8
2020-09-07,83.93
2020-09-06,88.2
2020-09-05,89.11
2020-09-04,88.94
2020-09-03,87.61
2020-09-02,88.12
2020-09-01,89.59
2020-08-31,90.11
2020-08-30,89.21
2020-08-29,89.33
2020-08-28,89.54
2020-08-27,89.8
2020-08-26,89.71
2020-08-25,89.66
2020-08-24,89.93
2020-08-23,91.63
2020-08-22,93.1
2020-08-21,96.09
2020-08-20,98.59
2020-08-19,100.18
2020-08-18,102.61
2020-08-17,107.85
2020-08-16,108.57
2020-08-15,109.95
2020-08-14,109.93
2020-08-13,111.76
2020-08-12,112.59
2020-08-11,112.86
2020-08-10,110.7
2020-08-09,111.06
2020-08-08,112.53
2020-08-07,114.01
2020-08-06,115.96
2020-08-05,119.57
2020-08-04,122.19
2020-08-03,124.4
2020-08-02,126.85
2020-08-01,128.95
2020-07-31,130.44
2020-07-30,131.85
2020-07-29,133.92
2020-07-28,136.25
2020-07-27,137.56
2020-07-26,139.09
2020-07-25,139.59
2020-07-24,141.34
2020-07-23,142.44
2020-07-22,141.32
2020-07-21,141.24
2020-07-20,141.65
2020-07-19,140.91
2020-07-18,140.79
2020-07-17,140.93
2020-07-16,138.33
2020-07-15,136.04
2020-07-14,133.89
2020-07-13,131.26
2020-07-12,129.73
2020-07-11,123.78
2020-07-10,118.33
2020-07-09,115.9
2020-07-08,113.85
2020-07-07,112.14
2020-07-06,109.27
2020-07-05,105.5
2020-07-04,104.78
2020-07-03,102.91
2020-07-02,98.76
2020-07-01,96.23
2020-06-30,89.56
2020-06-29,86.93
2020-06-28,83.96
2020-06-27,80.84
2020-06-26,77.78
2020-06-25,73.77
2020-06-24,68.2
2020-06-23,64.75
2020-06-22,60.8
2020-06-21,58.35
2020-06-20,56.36
2020-06-19,54.27
2020-06-18,52.8
2020-06-17,51.09
2020-06-16,50.02
2020-06-15,48.15
2020-06-14,47.38
2020-06-13,46.51
2020-06-12,45.71
2020-06-11,44.6
2020-06-10,43.92
2020-06-09,43.52
2020-06-08,44.19
2020-06-07,43.92
2020-06-06,45.02
2020-06-05,45.08
2020-06-04,44.83
2020-06-03,45.9
2020-06-02,45.56
2020-06-01,44.34
2020-05-31,45.03
2020-05-30,45.14
2020-05-29,44.32
2020-05-28,44.94
2020-05-27,45.43
2020-05-26,46.69
2020-05-25,48.18
2020-05-24,49.26
2020-05-23,48.75
2020-05-22,50.04
2020-05-21,50.42
2020-05-20,53.04
2020-05-19,51.05
2020-05-18,51.8
2020-05-17,50.71
2020-05-16,51.28
2020-05-15,51.38
2020-05-14,51.7
2020-05-13,50.21
2020-05-12,52.58
2020-05-11,52.17
2020-05-10,52.79
2020-05-09,54.29
2020-05-08,55.07
2020-05-07,56.2
2020-05-06,56.81
2020-05-05,57.31
2020-05-04,57.46
2020-05-03,58.36
2020-05-02,58.15
2020-05-01,59.59
2020-04-30,60.45
